man_teacher_tone4, 0x1f468,0x1f3fe,0x1f3eb
man_teacher_tone5, 0x1f468,0x1f3ff,0x1f3eb
woman_factory_worker, 0x1f469,0x1f3ed
woman_factory_worker_tone1, 0x1f469,0x1f3fb,0x1f3ed
woman_factory_worker_tone2, 0x1f469,0x1f3fc,0x1f3ed
woman_factory_worker_tone3, 0x1f469,0x1f3fd,0x1f3ed
woman_factory_worker_tone4, 0x1f469,0x1f3fe,0x1f3ed
woman_factory_worker_tone5, 0x1f469,0x1f3ff,0x1f3ed
man_factory_worker, 0x1f468,0x1f3ed
man_factory_worker_tone1, 0x1f468,0x1f3fb,0x1f3ed
man_factory_worker_tone2, 0x1f468,0x1f3fc,0x1f3ed
man_factory_worker_tone3, 0x1f468,0x1f3fd,0x1f3ed
man_factory_worker_tone4, 0x1f468,0x1f3fe,0x1f3ed
man_factory_worker_tone5, 0x1f468,0x1f3ff,0x1f3ed
woman_technologist, 0x1f469,0x1f4bb
woman_technologist_tone1, 0x1f469,0x1f3fb,0x1f4bb
woman_technologist_tone2, 0x1f469,0x1f3fc,0x1f4bb
woman_technologist_tone3, 0x1f469,0x1f3fd,0x1f4bb
woman_technologist_tone4, 0x1f469,0x1f3fe,0x1f4bb
woman_technologist_tone5, 0x1f469,0x1f3ff,0x1f4bb
man_technologist, 0x1f468,0x1f4bb
man_technologist_tone1, 0x1f468,0x1f3fb,0x1f4bb
man_technologist_tone2, 0x1f468,0x1f3fc,0x1f4bb
man_technologist_tone3, 0x1f468,0x1f3fd,0x1f4bb
man_technologist_tone4, 0x1f468,0x1f3fe,0x1f4bb
man_technologist_tone5, 0x1f468,0x1f3ff,0x1f4bb
woman_office_worker, 0x1f469,0x1f4bc
woman_office_worker_tone1, 0x1f469,0x1f3fb,0x1f4bc
woman_office_worker_tone2, 0x1f469,0x1f3fc,0x1f4bc
woman_office_worker_tone3, 0x1f469,0x1f3fd,0x1f4bc
woman_office_worker_tone4, 0x1f469,0x1f3fe,0x1f4bc
woman_office_worker_tone5, 0x1f469,0x1f3ff,0x1f4bc
man_office_worker, 0x1f468,0x1f4bc
man_office_worker_tone1, 0x1f468,0x1f3fb,0x1f4bc
man_office_worker_tone2, 0x1f468,0x1f3fc,0x1f4bc
man_office_worker_tone3, 0x1f468,0x1f3fd,0x1f4bc
man_office_worker_tone4, 0x1f468,0x1f3fe,0x1f4bc
man_office_worker_tone5, 0x1f468,0x1f3ff,0x1f4bc
woman_mechanic, 0x1f469,0x1f527
woman_mechanic_tone1, 0x1f469,0x1f3fb,0x1f527
woman_mechanic_tone2, 0x1f469,0x1f3fc,0x1f527
woman_mechanic_tone3, 0x1f469,0x1f3fd,0x1f527
woman_mechanic_tone4, 0x1f469,0x1f3fe,0x1f527
woman_mechanic_tone5, 0x1f469,0x1f3ff,0x1f527
man_mechanic, 0x1f468,0x1f527
